# Simulation 15 (Up to date)
# 495 data points written for 53 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23,1 m/s)
#
# Tempo (s),Altezza (m),Velocita' verticale (m/s),Accelerazione verticale (m/s²),Velocita' totale (m/s),Accelerazione totale (m/s²),Posizione sopravento (m),Posizione parallela al vento (m),Distanza laterale (m),Direzione laterale (°),Velocita' laterale (m/s),Accelerazione laterale (m/s²),Latitudine (°),Longitudine (°),Gravitational acceleration (m/s²),Angolo d'attacco (°),Tasso di rollio (°/s),Tasso di beccheggio (°/s),Tasso di impennaggio (°/s),Massa (g),Propellant mass (g),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),posizione CP  (cm),posizione CG (cm),Calibri del margine di stabilita' (?),Numero di Mach (?),Numero di Reynolds (?),Spinta (N),Forza d'attrito (N),Coefficiente d'attrito (?),Coefficiente d'attrito assiale (?),Coefficiente d'attrito causato dalla pressione (?),Coefficiente d'attrito di base (?),coefficiente della forza normale (?),coefficiente del momento di beccheggio (?),coefficiente del momento di impennaggio (?),coefficiente della forza laterale (?),coefficiente del momento di rollio (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Accelerazione di Coriolis  (m/s²),Reference length (cm),Reference area (cm²),Orientazione verticale (zenith) (°),Orientazione laterale (azimuth) (°),Velocita' del vento (m/s),Temperatura dell'aria (°C),Pressione dell'aria (mbar),Velocita' del suono (m/s),Intervallo di tempo della simulazione (s),Tempo del calcolo (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
15.801,700.95,-6.2265,0.0013583,6.2276,0.10748,12.801,0.013494,12.801,0.060395,1.9666,0.10747,46.168,9.9595,9.805,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.01845,489306,0,5.568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9455e-4,NaN,NaN,NaN,NaN,1.9525,10.294,929.57,337.54,0.5,0.54777
16.301,697.84,-6.2256,0.0018775,6.2267,0.075621,11.827,0.013427,11.827,0.065046,1.9288,0.075598,46.168,9.9595,9.805,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018447,489358,0,5.5682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.912e-4,NaN,NaN,NaN,NaN,1.919,10.314,929.92,337.55,0.5,0.54789
16.801,694.73,-6.2248,0.0016146,6.2256,0.023754,10.866,0.013362,10.866,0.070457,1.917,0.023699,46.168,9.9595,9.805,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018443,489392,0,5.5679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8884e-4,NaN,NaN,NaN,NaN,1.9142,10.334,930.27,337.56,0.5,0.54802
17.301,691.62,-6.223,0.0035338,6.2258,0.17297,9.8859,0.013298,9.886,0.077069,2.0034,0.17293,46.168,9.9594,9.8051,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018443,489524,0,5.5698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8806e-4,NaN,NaN,NaN,NaN,2.0271,10.354,930.62,337.57,0.5,0.54815
17.801,688.51,-6.2197,0.0065821,6.2276,0.37522,8.8373,0.013232,8.8374,0.085791,2.191,0.37516,46.168,9.9594,9.8051,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018447,489788,0,5.5748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9312e-4,NaN,NaN,NaN,NaN,2.2418,10.374,930.97,337.59,0.5,0.54828
18.301,685.4,-6.2114,0.01667,6.2354,0.69836,7.8291,0.013164,7.8291,0.096335,1.8419,0.69816,46.168,9.9594,9.8051,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.01847,490523,0,5.5905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0479e-4,NaN,NaN,NaN,NaN,1.7493,10.395,931.31,337.6,0.5,0.54841
18.801,682.29,-6.2255,-0.02829,6.2133,0.24671,6.9388,0.013096,6.9388,0.10814,1.7194,0.24508,46.168,9.9594,9.8051,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018404,488907,0,5.5527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8245e-4,NaN,NaN,NaN,NaN,1.6866,10.415,931.66,337.61,0.5,0.54853
19.301,679.18,-6.2075,0.036066,6.2381,0.62731,6.0008,0.013035,6.0008,0.12446,2.0325,0.62628,46.168,9.9594,9.8051,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018477,490981,0,5.5988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7694e-4,NaN,NaN,NaN,NaN,2.116,10.435,932.01,337.62,0.5,0.54867
19.801,676.07,-6.2164,-0.017804,6.2201,0.62575,5.0628,0.012973,5.0628,0.14681,1.7198,0.62549,46.168,9.9594,9.8051,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018423,489683,0,5.5682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.935e-4,NaN,NaN,NaN,NaN,1.6362,10.455,932.35,337.63,0.5,0.5488
20.301,672.97,-6.2192,-0.0056642,6.2171,0.14536,4.1847,0.01291,4.1847,0.17676,1.7924,0.14525,46.168,9.9594,9.8051,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018413,489563,0,5.5644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.761e-4,NaN,NaN,NaN,NaN,1.8123,10.476,932.7,337.65,0.5,0.54897
20.801,669.86,-6.2167,0.0051455,6.2192,0.018198,3.2907,0.012851,3.2907,0.22375,1.7837,0.017456,46.168,9.9594,9.8051,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018419,489852,0,5.5699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8037e-4,NaN,NaN,NaN,NaN,1.7817,10.496,933.05,337.66,0.5,0.54912
21.301,666.75,-6.2015,0.030328,6.2359,0.77469,2.3021,0.012791,2.3021,0.31835,2.1707,0.7741,46.168,9.9593,9.8051,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018467,491285,0,5.6015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7964e-4,NaN,NaN,NaN,NaN,2.2733,10.516,933.4,337.67,0.5,0.54931
21.801,663.65,-6.2239,-0.044736,6.2016,0.065665,1.2107,0.012727,1.2108,0.60223,2.1947,0.048068,46.168,9.9593,9.8051,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018365,488699,0,5.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0182e-4,NaN,NaN,NaN,NaN,2.2017,10.536,933.74,337.68,0.5,0.54945
22.301,660.54,-6.2087,0.030395,6.225,0.18855,0.090112,0.012656,0.090996,7.9944,2.2878,0.18608,46.168,9.9593,9.8052,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018434,490664,0,5.5853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0541e-4,NaN,NaN,NaN,NaN,2.3129,10.556,934.09,337.7,0.5,0.54962
22.801,657.43,-6.2161,-0.014894,6.2096,0.17305,-1.0322,0.012582,1.0323,179.3,2.2016,0.17241,46.168,9.9593,9.8052,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018388,489572,0,5.5594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1032e-4,NaN,NaN,NaN,NaN,2.1788,10.577,934.44,337.71,0.5,0.54975
23.301,654.33,-6.2032,0.025747,6.2261,0.55793,-2.0634,0.012507,2.0634,179.65,1.9229,0.55733,46.168,9.9593,9.8052,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018436,490989,0,5.5906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0517e-4,NaN,NaN,NaN,NaN,1.8496,10.597,934.78,337.72,0.5,0.54986
23.801,651.22,-6.2162,-0.025919,6.2044,0.18761,-3.048,0.012437,3.0481,179.77,2.0158,0.18582,46.168,9.9593,9.8052,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018371,489396,0,5.5533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8643e-4,NaN,NaN,NaN,NaN,2.0412,10.617,935.13,337.73,0.5,0.55001
24.301,648.12,-6.2074,0.017565,6.2171,0.16745,-4.0768,0.012371,4.0768,179.83,2.0991,0.16652,46.168,9.9593,9.8052,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018408,490520,0,5.5778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9326e-4,NaN,NaN,NaN,NaN,2.1216,10.637,935.48,337.74,0.5,0.55014
24.801,645.01,-6.2108,-0.006808,6.2086,0.1897,-5.15,0.012302,5.15,179.86,2.1939,0.18958,46.168,9.9592,9.8052,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018382,489968,0,5.5642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.977e-4,NaN,NaN,NaN,NaN,2.2196,10.657,935.83,337.76,0.5,0.55026
25.301,641.91,-6.2068,0.0080592,6.2127,0.24461,-6.2164,0.012232,6.2164,179.89,2.0716,0.24448,46.168,9.9592,9.8052,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018393,490415,0,5.5733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0418e-4,NaN,NaN,NaN,NaN,2.0395,10.677,936.17,337.77,0.5,0.55041
25.801,638.8,-6.209,-0.0044635,6.207,0.079961,-7.2422,0.012161,7.2422,179.9,2.0317,0.079836,46.168,9.9592,9.8052,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018376,490080,0,5.5647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.959e-4,NaN,NaN,NaN,NaN,2.0215,10.698,936.52,337.78,0.5,0.55055
26.301,635.7,-6.1964,0.025203,6.2217,0.62942,-8.1795,0.012092,8.1795,179.92,1.7173,0.62891,46.168,9.9592,9.8052,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018419,491360,0,5.5928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9359e-4,NaN,NaN,NaN,NaN,1.6349,10.718,936.87,337.79,0.5,0.55068
26.801,632.6,-6.2026,-0.012289,6.2087,0.61725,-9.1153,0.012028,9.1153,179.92,2.0258,0.61713,46.168,9.9592,9.8052,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.01838,490456,0,5.5712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7409e-4,NaN,NaN,NaN,NaN,2.1082,10.738,937.21,337.81,0.5,0.55082
27.301,629.5,-6.2071,-0.0090222,6.2028,0.084649,-10.118,0.011966,10.118,179.93,1.9837,0.084167,46.168,9.9592,9.8052,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018361,490105,0,5.5622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9264e-4,NaN,NaN,NaN,NaN,1.9729,10.758,937.56,337.82,0.5,0.55095
27.801,626.4,-6.2018,0.010564,6.2088,0.23297,-11.139,0.0119,11.139,179.94,2.1001,0.23273,46.168,9.9592,9.8053,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018379,490701,0,5.5747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9045e-4,NaN,NaN,NaN,NaN,2.1313,10.778,937.91,337.83,0.5,0.55108
28.301,623.3,-6.2023,-0.0010218,6.2049,0.31242,-12.15,0.011832,12.15,179.94,1.9439,0.31242,46.168,9.9592,9.8053,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018366,490512,0,5.5693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9726e-4,NaN,NaN,NaN,NaN,1.9029,10.798,938.25,337.84,0.5,0.55121
28.801,620.2,-6.1983,0.0079209,6.2082,0.42892,-13.175,0.011765,13.175,179.95,2.1583,0.42885,46.168,9.9591,9.8053,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018375,490892,0,5.5769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.876e-4,NaN,NaN,NaN,NaN,2.2153,10.819,938.6,337.85,0.5,0.55134
29.301,617.1,-6.2021,-0.0074327,6.2006,0.26702,-14.221,0.011697,14.221,179.95,2.0249,0.26692,46.168,9.9591,9.8053,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018352,490409,0,5.5649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0072e-4,NaN,NaN,NaN,NaN,1.9899,10.839,938.94,337.87,0.5,0.55146
29.801,614,-6.1993,0.0056066,6.2033,0.19933,-15.208,0.011628,15.208,179.96,1.9252,0.19925,46.168,9.9591,9.8053,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.01836,490741,0,5.5714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9253e-4,NaN,NaN,NaN,NaN,1.8993,10.859,939.29,337.88,0.5,0.55159
30.301,610.9,-6.2002,-0.0019736,6.1995,0.087513,-16.182,0.011561,16.182,179.96,1.969,0.087491,46.168,9.9591,9.8053,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018348,490557,0,5.5662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.862e-4,NaN,NaN,NaN,NaN,1.981,10.879,939.64,337.89,0.5,0.55172
30.801,607.8,-6.1981,0.0043282,6.2007,0.11355,-17.181,0.011496,17.181,179.96,2.0257,0.11346,46.168,9.9591,9.8053,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.01835,490767,0,5.5699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8893e-4,NaN,NaN,NaN,NaN,2.0411,10.899,939.98,337.9,0.5,0.55184
31.301,604.7,-6.1959,0.0043928,6.201,0.30195,-18.231,0.01143,18.231,179.96,2.1767,0.30191,46.168,9.9591,9.8053,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018351,490914,0,5.5723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9222e-4,NaN,NaN,NaN,NaN,2.2169,10.919,940.33,337.92,0.5,0.55197
31.801,601.6,-6.1976,-0.0033674,6.1965,0.13583,-19.303,0.011361,19.303,179.97,2.1088,0.13579,46.168,9.9591,9.8053,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018337,490672,0,5.5657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.017e-4,NaN,NaN,NaN,NaN,2.0912,10.939,940.68,337.93,0.5,0.55211
32.301,598.5,-6.1953,0.0046217,6.198,0.11763,-20.342,0.01129,20.342,179.97,2.05,0.11754,46.168,9.959,9.8053,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018341,490912,0,5.5701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9743e-4,NaN,NaN,NaN,NaN,2.0349,10.96,941.02,337.94,0.5,0.55223
32.801,595.4,-6.1955,-4.2388e-4,6.1953,0.036279,-21.372,0.011221,21.372,179.97,2.0681,0.036276,46.168,9.959,9.8054,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018332,490816,0,5.5669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9348e-4,NaN,NaN,NaN,NaN,2.0733,10.98,941.37,337.95,0.5,0.55236
33.301,592.31,-6.1892,0.012506,6.2014,0.43009,-22.46,0.011152,22.46,179.97,2.2831,0.4299,46.168,9.959,9.8054,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018349,491419,0,5.5796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9465e-4,NaN,NaN,NaN,NaN,2.3398,11,941.71,337.96,0.5,0.55249
33.801,589.21,-6.1942,-0.010063,6.1916,0.27126,-23.567,0.01108,23.567,179.97,2.1476,0.27108,46.168,9.959,9.8054,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.01832,490756,0,5.5635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0826e-4,NaN,NaN,NaN,NaN,2.1122,11.02,942.06,337.98,0.5,0.55262
34.301,586.11,-6.1916,0.0053138,6.1944,0.076205,-24.651,0.011007,24.651,179.97,2.1856,0.07602,46.168,9.959,9.8054,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018327,491101,0,5.5703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9964e-4,NaN,NaN,NaN,NaN,2.196,11.04,942.41,337.99,0.5,0.55274
34.801,583.02,-6.1917,-2.551e-4,6.1917,0.068883,-25.752,0.010935,25.752,179.98,2.22,0.068883,46.168,9.959,9.8054,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018319,491006,0,5.5671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.019e-4,NaN,NaN,NaN,NaN,2.2295,11.06,942.75,338,0.5,0.55286
35.301,579.93,-6.1777,0.027955,6.2076,0.7059,-26.774,0.010862,26.774,179.98,1.8673,0.70534,46.168,9.959,9.8054,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018365,492381,0,5.5973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0421e-4,NaN,NaN,NaN,NaN,1.7763,11.08,943.1,338.01,0.5,0.55299
35.801,576.83,-6.1968,-0.038137,6.178,0.10112,-27.719,0.010793,27.719,179.98,1.9142,0.093649,46.168,9.959,9.8054,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018277,490153,0,5.5458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.808e-4,NaN,NaN,NaN,NaN,1.927,11.1,943.44,338.03,0.5,0.55311
36.301,573.74,-6.1783,0.037088,6.2046,0.49518,-28.738,0.010729,28.738,179.98,2.1611,0.49379,46.168,9.9589,9.8054,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018355,492381,0,5.5953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8532e-4,NaN,NaN,NaN,NaN,2.2255,11.121,943.79,338.04,0.5,0.55324
36.801,570.65,-6.1936,-0.030647,6.1786,0.10419,-29.806,0.010662,29.806,179.98,2.1113,0.099577,46.168,9.9589,9.8054,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018277,490432,0,5.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9909e-4,NaN,NaN,NaN,NaN,2.0985,11.141,944.14,338.05,0.5,0.55336
37.301,567.55,-6.1804,0.026382,6.1974,0.34812,-30.818,0.010592,30.818,179.98,1.9377,0.34712,46.168,9.9589,9.8054,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018332,492046,0,5.5856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9723e-4,NaN,NaN,NaN,NaN,1.893,11.161,944.48,338.06,0.5,0.55348
37.801,564.46,-6.1895,-0.018176,6.1807,0.098886,-31.799,0.010525,31.799,179.98,1.9863,0.097202,46.168,9.9589,9.8054,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018282,490835,0,5.5571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8521e-4,NaN,NaN,NaN,NaN,1.9995,11.181,944.83,338.07,0.5,0.55359
38.301,561.37,-6.1816,0.015781,6.1912,0.23246,-32.822,0.010459,32.822,179.98,2.1023,0.23192,46.168,9.9589,9.8055,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018313,491787,0,5.5777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.89e-4,NaN,NaN,NaN,NaN,2.1329,11.201,945.17,338.09,0.5,0.5537
38.801,558.28,-6.1856,-0.0080635,6.1822,0.14325,-33.855,0.010391,33.855,179.98,2.0308,0.14302,46.168,9.9589,9.8055,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018285,491192,0,5.5632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9556e-4,NaN,NaN,NaN,NaN,2.0124,11.221,945.52,338.1,0.5,0.55382
39.301,555.18,-6.1821,0.0070258,6.1859,0.09546,-34.882,0.010323,34.882,179.98,2.0784,0.095202,46.168,9.9589,9.8055,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018296,491601,0,5.5715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.914e-4,NaN,NaN,NaN,NaN,2.0912,11.241,945.86,338.11,0.5,0.55393
39.801,552.09,-6.1813,0.0017103,6.1843,0.25939,-35.889,0.010255,35.889,179.98,1.9487,0.25938,46.168,9.9588,9.8055,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.01829,491587,0,5.5701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9408e-4,NaN,NaN,NaN,NaN,1.9152,11.261,946.21,338.12,0.5,0.55406
40.301,549,-6.1816,-7.0648e-4,6.1818,0.12938,-36.847,0.010188,36.847,179.98,1.884,0.12938,46.168,9.9588,9.8055,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018282,491507,0,5.5673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8595e-4,NaN,NaN,NaN,NaN,1.8675,11.281,946.55,338.14,0.5,0.55417
40.801,545.91,-6.179,0.0051592,6.1833,0.2306,-37.818,0.010124,37.818,179.98,1.9993,0.23054,46.168,9.9588,9.8055,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018286,491747,0,5.5717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8213e-4,NaN,NaN,NaN,NaN,2.0296,11.301,946.9,338.15,0.5,0.5543
41.301,542.82,-6.1794,-7.793e-4,6.1803,0.20159,-38.843,0.010059,38.843,179.99,2.1,0.20159,46.168,9.9588,9.8055,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018276,491626,0,5.568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8884e-4,NaN,NaN,NaN,NaN,2.1267,11.322,947.24,338.16,0.5,0.55442
41.801,539.73,-6.1756,0.007562,6.1834,0.35274,-39.849,0.0099922,39.849,179.99,1.9237,0.35266,46.168,9.9588,9.8055,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018285,491986,0,5.5751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9522e-4,NaN,NaN,NaN,NaN,1.8784,11.342,947.59,338.17,0.5,0.55455
42.301,536.65,-6.1775,-0.0037466,6.1783,0.28592,-40.775,0.0099254,40.775,179.99,1.7808,0.2859,46.168,9.9588,9.8055,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018269,491694,0,5.5675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8393e-4,NaN,NaN,NaN,NaN,1.744,11.362,947.93,338.18,0.5,0.55467
42.801,533.56,-6.1695,0.016019,6.187,0.54517,-41.733,0.0098629,41.733,179.99,2.0532,0.54493,46.168,9.9588,9.8055,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018294,492510,0,5.5849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7583e-4,NaN,NaN,NaN,NaN,2.1239,11.382,948.28,338.2,0.5,0.5548
43.301,530.47,-6.1801,-0.021284,6.1697,0.083843,-42.77,0.0097996,42.77,179.99,2.0938,0.081096,46.168,9.9588,9.8056,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018242,491248,0,5.5554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9134e-4,NaN,NaN,NaN,NaN,2.1048,11.402,948.62,338.21,0.5,0.55492
43.801,527.38,-6.1723,0.015607,6.1805,0.10713,-43.83,0.0097321,43.83,179.99,2.1468,0.10599,46.168,9.9587,9.8056,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018274,492224,0,5.5764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9489e-4,NaN,NaN,NaN,NaN,2.1609,11.422,948.97,338.22,0.5,0.55505
44.301,524.3,-6.1726,-5.0486e-4,6.1764,0.35464,-44.859,0.0096624,44.859,179.99,1.9695,0.35464,46.168,9.9587,9.8056,NaN,NaN,NaN,NaN,567.78,0,NaN,NaN,NaN,NaN,NaN,0.018261,492010,0,5.5706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9761e-4,NaN,NaN,NaN,NaN,1.9239,11.442,949.31,338.23,0.5,0.55517
